Hr,Min,Sec,timePeriod,lat,long,ride_id
6,4,21840,6:00:00,40.4522,-80.1676,virtual1
6,34,23640,6:30:00,40.4522,-80.1676,virtual2
7,4,25440,7:00:00,40.4522,-80.1676,virtual3
7,37,27420,7:30:00,40.4522,-80.1676,virtual4
8,13,29580,8:00:00,40.4522,-80.1676,virtual5
8,43,31380,8:30:00,40.4522,-80.1676,virtual6
9,13,33180,9:00:00,40.4522,-80.1676,virtual7
9,43,34980,9:30:00,40.4522,-80.1676,virtual8
10,10,36600,10:00:00,40.4522,-80.1676,virtual9
10,40,38400,10:30:00,40.4522,-80.1676,virtual10
11,10,40200,11:00:00,40.4522,-80.1676,virtual11
11,40,42000,11:30:00,40.4522,-80.1676,virtual12
12,10,43800,12:00:00,40.4522,-80.1676,virtual13
12,40,45600,12:30:00,40.4522,-80.1676,virtual14
13,10,47400,13:00:00,40.4522,-80.1676,virtual15
13,40,49200,13:30:00,40.4522,-80.1676,virtual16
14,10,51000,14:00:00,40.4522,-80.1676,virtual17
14,40,52800,14:30:00,40.4522,-80.1676,virtual18
15,10,54600,15:00:00,40.4522,-80.1676,virtual19
15,43,56580,15:30:00,40.4522,-80.1676,virtual20
16,21,58860,16:15:00,40.4522,-80.1676,virtual21
16,54,60840,16:45:00,40.4522,-80.1676,virtual22
17,24,62640,17:15:00,40.4522,-80.1676,virtual23
17,54,64440,17:45:00,40.4522,-80.1676,virtual24
18,20,66000,18:15:00,40.4522,-80.1676,virtual25
18,50,67800,18:45:00,40.4522,-80.1676,virtual26
19,7,68820,19:00:00,40.4522,-80.1676,virtual27
19,37,70620,19:30:00,40.4522,-80.1676,virtual28
20,7,72420,20:00:00,40.4522,-80.1676,virtual29
20,37,74220,20:30:00,40.4522,-80.1676,virtual30
21,3,75780,21:00:00,40.4522,-80.1676,virtual31
21,33,77580,21:30:00,40.4522,-80.1676,virtual32
22,3,79380,22:00:00,40.4522,-80.1676,virtual33
22,33,81180,22:30:00,40.4522,-80.1676,virtual34
23,3,82980,23:00:00,40.4522,-80.1676,virtual35
23,33,84780,23:30:00,40.4522,-80.1676,virtual36
