Hr,Min,Sec
4,52,17520
5,22,19320
5,52,21120
6,23,22980
6,53,24780
7,23,26580
7,53,28380
8,23,30180
8,53,31980
9,23,33780
9,53,35580
10,23,37380
10,53,39180
11,23,40980
11,53,42780
12,23,44580
12,53,46380
13,23,48180
13,53,49980
14,23,51780
14,53,53580
15,23,55380
15,53,57180
16,24,59040
16,55,60900
17,28,62880
17,58,64680
18,28,66480
18,54,68040
19,22,69720
19,52,71520
20,22,73320
20,52,75120
21,22,76920
21,52,78720
22,22,80520
22,52,82320
23,22,84120
23,52,85920
24,22,87720
