,index_x,completed_at,created_at,destination_address,destination_latitude,destination_longitude,duration,origin_address,origin_latitude,origin_longitude,origin_timestamp,ride_id,wait_time,date,month,day_of_week,orig_hour,orig_min,tot_orig_min,orig_sec,dropoff_hour,dropoff_min,drop_sec,pending_time,pickup_lat,pickup_long,pickup_time,dropoff_lat,dropoff_long,dropoff_time,cancel_time,noshow_time,noshow_trip,pickup_hour,pickup_min,pickup_sec,driver,vehicle,completed_trip,orig_lat_round_str,orig_lng_round_str,dest_lat_round_str,dest_lng_round_str,stringOrigCoords,stringDestCoords,origin_address_geocode,destination_address_geocode,USE_orig_lat,USE_orig_long,USE_dest_lat,USE_dest_long,old_origin_poi,origin_poi,old_destination_poi,destination_poi,pending_sec,od_pair,timePeriod1
98,98,2019-07-15 14:16:01-04:00,2019-07-15 12:59:47-04:00,IKEA,40.452779,-80.16833000000003,863.0,Wyndham Garden Pittsburgh Airport,40.465847,-80.1989809,2019-07-15 14:00:00-04:00,4714003,98.0,2019-07-15,7,Monday,14,0,840,50400,14,16,51361,2019-07-15 12:59:47-04:00,40.46596622,-80.19875932,2019-07-15 14:01:38-04:00,40.45299351,-80.16810587,2019-07-15 14:16:01-04:00,,,0,14.0,1.0,50498.0,actadriver1,2008,1,40.4658,-80.199,40.4528,-80.1683,"40.4658, -80.1986","40.4522, -80.1676","1 Industry Ln, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4658,-80.1986,40.4522,-80.1676,0,0,3.0,3,46787,"0, 3",14:00:00
557,557,2019-07-15 19:08:19-04:00,2019-07-15 18:44:26-04:00,"IKEA Park Manor Boulevard, Pittsburgh, PA, USA",40.452779,-80.16833000000003,12.0,"777 Aten Rd, Coraopolis, PA  15108, United States",40.46028434,-80.19265294,2019-07-15 18:44:27-04:00,4715671,1420.0,2019-07-15,7,Monday,18,44,1124,67467,19,8,68899,2019-07-15 18:44:26-04:00,40.45299971,-80.16812447,2019-07-15 19:08:07-04:00,40.45299971,-80.16812447,2019-07-15 19:08:19-04:00,,,0,19.0,8.0,68887.0,actadriver1,2008,1,40.4603,-80.1927,40.4528,-80.1683,"40.4606, -80.1927","40.4522, -80.1676","777 Aten Rd, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4606,-80.1927,40.4522,-80.1676,2,2,3.0,3,67466,"2, 3",18:30:00
584,584,2019-07-15 17:28:03-04:00,2019-07-15 17:11:54-04:00,IKEA,40.452779,-80.16833000000003,969.0,"777 Aten Rd, Coraopolis, PA  15108, United States",40.46101724,-80.1931009,2019-07-15 17:11:54-04:00,4714997,0.0,2019-07-15,7,Monday,17,11,1031,61914,17,28,62883,2019-07-15 17:11:54-04:00,40.46101724,-80.1931009,2019-07-15 17:11:54-04:00,40.45328835,-80.16822249,2019-07-15 17:28:03-04:00,,,0,17.0,11.0,61914.0,actadriver3,2064,1,40.461,-80.1931,40.4528,-80.1683,"40.4606, -80.1927","40.4522, -80.1676","777 Aten Rd, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4606,-80.1927,40.4522,-80.1676,2,2,3.0,3,61914,"2, 3",17:00:00
864,864,2019-07-15 11:09:03-04:00,2019-07-15 10:37:00-04:00,Pool City,40.452779,-80.16833000000003,,IKEA,40.452779,-80.16833000000003,2019-07-15 10:40:00-04:00,4713579,,2019-07-15,7,Monday,10,40,640,38400,11,9,40143,2019-07-15 10:37:00-04:00,40.452779,-80.16833000000003,2019-07-15 11:09:03-04:00,40.452779,-80.16833000000003,2019-07-15 11:09:03-04:00,,2019-07-15 11:09:03-04:00,1,11.0,9.0,40143.0,actadriver1,2008,1,40.4528,-80.1683,40.4528,-80.1683,"40.4522, -80.1676","40.4522, -80.1676","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4522,-80.1676,40.4522,-80.1676,3,3,3.0,3,38220,"3, 3",10:30:00
1991,1991,2019-07-15 15:38:20-04:00,2019-07-15 15:16:09-04:00,IKEA,40.452779,-80.16833000000003,1104.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 15:16:10-04:00,4714435,226.0,2019-07-15,7,Monday,15,16,916,54970,15,38,56300,2019-07-15 15:16:09-04:00,40.46663061,-80.20312118,2019-07-15 15:19:56-04:00,40.45329608,-80.1682059,2019-07-15 15:38:20-04:00,,,0,15.0,19.0,55196.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,54969,"4, 3",15:15:00
1994,1994,2019-07-15 20:23:45-04:00,2019-07-15 20:12:55-04:00,IKEA,40.452779,-80.16833000000003,579.0,IBEX Global,40.467234999999995,-80.202647,2019-07-15 20:12:55-04:00,4716347,71.0,2019-07-15,7,Monday,20,12,1212,72775,20,23,73425,2019-07-15 20:12:55-04:00,40.46671334,-80.20313334,2019-07-15 20:14:06-04:00,40.45295172,-80.16818189,2019-07-15 20:23:45-04:00,,,0,20.0,14.0,72846.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,72775,"4, 3",20:00:00
2027,2027,2019-07-15 21:23:57-04:00,2019-07-15 20:37:25-04:00,IKEA,40.452779,-80.16833000000003,824.0,"200 Industry Dr, Coraopolis, PA 15108, USA",40.467234999999995,-80.202647,2019-07-15 20:37:25-04:00,4716497,1968.0,2019-07-15,7,Monday,20,37,1237,74245,21,23,77037,2019-07-15 20:37:25-04:00,40.46663254,-80.20317097,2019-07-15 21:10:13-04:00,40.45295399,-80.16819346,2019-07-15 21:23:57-04:00,,,0,21.0,10.0,76213.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,74245,"4, 3",20:30:00
2048,2048,2019-07-15 20:23:45-04:00,2019-07-15 20:13:36-04:00,IKEA,40.452779,-80.16833000000003,579.0,IBEX Global,40.467234999999995,-80.202647,2019-07-15 20:13:36-04:00,4716351,30.0,2019-07-15,7,Monday,20,13,1213,72816,20,23,73425,2019-07-15 20:13:36-04:00,40.46671334,-80.20313334,2019-07-15 20:14:06-04:00,40.45295172,-80.16818189,2019-07-15 20:23:45-04:00,,,0,20.0,14.0,72846.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,72816,"4, 3",20:00:00
2065,2065,2019-07-15 17:55:47-04:00,2019-07-15 17:42:22-04:00,IKEA,40.452779,-80.16833000000003,805.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 17:42:23-04:00,4715193,0.0,2019-07-15,7,Monday,17,42,1062,63743,17,55,64547,2019-07-15 17:42:22-04:00,40.46667261,-80.20310735,2019-07-15 17:42:22-04:00,40.45335541,-80.16804115,2019-07-15 17:55:47-04:00,,,0,17.0,42.0,63742.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,63742,"4, 3",17:30:00
2076,2076,2019-07-15 21:52:05-04:00,2019-07-15 21:41:34-04:00,IKEA,40.452779,-80.16833000000003,631.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 21:41:34-04:00,4716935,0.0,2019-07-15,7,Monday,21,41,1301,78094,21,52,78725,2019-07-15 21:41:34-04:00,40.46667194,-80.20308908,2019-07-15 21:41:34-04:00,40.45370542,-80.17145259,2019-07-15 21:52:05-04:00,,,0,21.0,41.0,78094.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,78094,"4, 3",21:30:00
